tag,n_train,n_test,p_signal_train,p_signal_test,acc,f1,prec,rec,auc,ap,brier,ece,acc_tuned,f1_tuned,prec_tuned,rec_tuned,thresh,leak_warnings
DS_no_historical,43110,10777,0.30988169798190673,0.43741300918622994,0.9308712999907209,0.9184633906096092,0.9486773683020574,0.890114552397115,0.982776309085531,0.9693092591697342,0.04882975656379603,0.04189456416285513,0.9309640901920757,0.9185995623632385,0.9484862178038861,0.8905388205345779,0.33,
DS_full,43110,10777,0.30988169798190673,0.43741300918622994,0.9231697132782778,0.9084070796460177,0.9491447064262598,0.8710224862112855,0.9838762537970179,0.9753423691281264,0.05426450696536815,0.03128083572812889,0.9233552936809872,0.9087897526501767,0.9477199447259328,0.8729316928298685,0.36,
DS_no_ds,43110,10777,0.30988169798190673,0.43741300918622994,0.8955182332745663,0.8763452668570173,0.9084699453551912,0.8464149342384387,0.967720580769408,0.9441891676263785,0.0799424829802511,0.06415665567692856,0.896631715690823,0.8778776584082438,0.9083484573502723,0.8493848112006789,0.34,
DS_no_stim_hard,43110,10777,0.30988169798190673,0.43741300918622994,0.7471467013083418,0.6524677974748119,0.8180364566677326,0.5426389478150191,0.7812851216938592,0.7394196270395226,0.21260352011083153,0.1826405566735286,0.7471467013083418,0.6524677974748119,0.8180364566677326,0.5426389478150191,0.41000000000000003,
DS_no_stim,43110,10777,0.30988169798190673,0.43741300918622994,0.7010299712350376,0.5331787887568821,0.8409506398537477,0.3903266864658464,0.7508801132165438,0.7268234549081081,0.23702924650525306,0.20657904367945187,0.7132782778138629,0.5843422114608555,0.7985294117647059,0.4607551972846839,0.38,
DS_no_stim_and_ds,43110,10777,0.30988169798190673,0.43741300918622994,0.5885682471930964,0.25554063129617194,0.6127214170692431,0.16143402630462453,0.5894521223938353,0.5425057124870307,0.339527503801133,0.316908182638784,0.5885682471930964,0.25554063129617194,0.6127214170692431,0.16143402630462453,0.37,
