tag,n_train,n_test,p_signal_train,p_signal_test,acc,f1,prec,rec,auc,ap,brier,ece,acc_tuned,f1_tuned,prec_tuned,rec_tuned,thresh,leak_warnings
NONDS_no_historical,49600,12400,0.34512096774193546,0.34741935483870967,0.9537096774193549,0.9347727272727273,0.9156277827248441,0.9547353760445683,0.9768692562228889,0.9401742357959462,0.04151016125307794,0.029542112028744495,0.9537096774193549,0.9347727272727273,0.9156277827248441,0.9547353760445683,0.29,
NONDS_full,49600,12400,0.34512096774193546,0.34741935483870967,0.917258064516129,0.8825011452130096,0.8709312839059674,0.8943825441039925,0.9782939699720622,0.9524193547853708,0.05484394465446514,0.03186473879647711,0.917258064516129,0.8825011452130096,0.8709312839059674,0.8943825441039925,0.4,
NONDS_no_stim_hard,49600,12400,0.34512096774193546,0.34741935483870967,0.8014516129032258,0.6742524477374967,0.784,0.5914577530176416,0.8623179506933037,0.7271987715645047,0.1544841572171379,0.11009000365672689,0.8013709677419355,0.6741632491070247,0.7837588434327899,0.5914577530176416,0.43,
NONDS_no_stim,49600,12400,0.34512096774193546,0.34741935483870967,0.7349193548387096,0.5593243062072664,0.6620120596635989,0.4842154131847725,0.729731750147216,0.5450232308298518,0.20379786940288377,0.10183003754223577,0.7348387096774194,0.5594855305466238,0.6615969581749049,0.48467966573816157,0.4,
