id,support,acc_05,f1_05,acc_tuned,f1_tuned
448,40,0.975,0.9629629629629629,0.975,0.9629629629629629
45,40,0.95,0.9230769230769231,0.95,0.9230769230769231
136,40,0.975,0.9629629629629629,0.975,0.9629629629629629
587,40,0.95,0.9230769230769231,0.95,0.9230769230769231
380,40,0.975,0.9629629629629629,0.975,0.9629629629629629
591,40,0.975,0.9629629629629629,0.975,0.9629629629629629
639,40,0.95,0.9230769230769231,0.95,0.9230769230769231
83,40,0.825,0.0,0.8,0.0
130,40,0.925,0.8888888888888888,0.925,0.8888888888888888
56,40,0.475,0.08695652173913043,0.45,0.08333333333333333
457,40,0.95,0.9230769230769231,0.975,0.9629629629629629
600,40,0.925,0.88,0.95,0.9230769230769231
129,40,0.95,0.9230769230769231,0.95,0.9230769230769231
126,40,0.95,0.9230769230769231,0.95,0.9230769230769231
655,40,0.95,0.9230769230769231,0.95,0.9230769230769231
653,40,0.95,0.9230769230769231,0.95,0.9230769230769231
64,40,0.8,0.2,0.8,0.2
606,40,0.925,0.88,0.95,0.9230769230769231
652,40,0.925,0.88,0.95,0.9230769230769231
383,40,0.925,0.88,0.9,0.8461538461538461
452,40,0.925,0.8888888888888888,0.925,0.8888888888888888
105,40,0.925,0.88,0.925,0.88
106,40,0.925,0.88,0.95,0.9230769230769231
586,40,0.875,0.8148148148148148,0.875,0.8148148148148148
734,40,0.725,0.15384615384615385,0.75,0.2857142857142857
490,40,0.975,0.0,0.975,0.0
19,40,0.825,0.7407407407407407,0.825,0.7407407407407407
641,40,0.95,0.9230769230769231,0.95,0.9230769230769231
724,40,0.975,0.9629629629629629,0.975,0.9629629629629629
410,40,0.95,0.9230769230769231,0.95,0.9230769230769231
508,40,0.95,0.9230769230769231,0.95,0.9230769230769231
10,40,0.975,0.9629629629629629,0.975,0.9629629629629629
699,40,0.85,0.75,0.9,0.8461538461538461
725,40,0.975,0.9629629629629629,0.975,0.9629629629629629
441,40,0.925,0.88,0.95,0.9230769230769231
442,40,0.925,0.88,0.95,0.9230769230769231
352,40,0.875,0.8,0.925,0.8888888888888888
76,40,0.75,0.2857142857142857,0.7,0.25
518,40,0.925,0.8888888888888888,0.925,0.8888888888888888
309,40,0.925,0.88,0.95,0.9230769230769231
436,40,0.9,0.8333333333333334,0.925,0.88
730,40,0.875,0.8,0.9,0.8461538461538461
306,40,0.9,0.8461538461538461,0.9,0.8461538461538461
478,40,0.6,0.38461538461538464,0.525,0.3870967741935484
142,40,0.9,0.8461538461538461,0.9,0.8461538461538461
140,40,0.925,0.8888888888888888,0.925,0.8888888888888888
355,40,0.85,0.7692307692307693,0.85,0.7692307692307693
39,40,0.925,0.8888888888888888,0.925,0.8888888888888888
645,40,0.925,0.88,0.925,0.8888888888888888
196,32,0.90625,0.88,0.90625,0.88
666,32,0.96875,0.9523809523809523,1.0,1.0
646,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
193,32,0.875,0.8461538461538461,0.875,0.8461538461538461
649,32,1.0,0.0,0.9375,0.0
446,32,1.0,1.0,1.0,1.0
667,32,0.875,0.8461538461538461,0.90625,0.8888888888888888
354,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
674,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
357,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
176,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
174,32,0.875,0.8461538461538461,0.875,0.8461538461538461
684,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
360,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
440,32,0.875,0.8333333333333334,0.875,0.8333333333333334
351,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
1,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
638,32,1.0,1.0,1.0,1.0
636,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
241,32,0.9375,0.9166666666666666,0.90625,0.88
467,32,0.9375,0.9090909090909091,0.9375,0.9090909090909091
249,32,0.90625,0.88,0.90625,0.88
469,32,0.90625,0.88,0.90625,0.88
322,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
561,32,0.9375,0.9230769230769231,0.96875,0.9629629629629629
255,32,0.875,0.8333333333333334,0.875,0.8461538461538461
557,32,0.84375,0.8148148148148148,0.84375,0.8148148148148148
544,32,1.0,1.0,1.0,1.0
543,32,0.96875,0.9523809523809523,1.0,1.0
271,32,1.0,1.0,1.0,1.0
272,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
274,32,1.0,1.0,1.0,1.0
541,32,1.0,1.0,1.0,1.0
312,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
588,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
460,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
595,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
620,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
447,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
214,32,0.90625,0.88,0.90625,0.88
347,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
346,32,0.96875,0.9523809523809523,1.0,1.0
162,32,0.90625,0.88,0.9375,0.9230769230769231
344,32,0.90625,0.88,0.9375,0.9230769230769231
450,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
597,32,0.875,0.8461538461538461,0.90625,0.8888888888888888
612,32,1.0,1.0,1.0,1.0
455,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
332,32,0.84375,0.8,0.875,0.8461538461538461
456,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
602,32,0.96875,0.9523809523809523,1.0,1.0
601,32,0.875,0.8333333333333334,0.90625,0.88
688,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
139,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
362,32,0.9375,0.9230769230769231,1.0,1.0
43,32,1.0,1.0,1.0,1.0
425,32,1.0,1.0,1.0,1.0
289,32,1.0,1.0,0.96875,0.9523809523809523
50,32,0.875,0.8461538461538461,0.875,0.8461538461538461
756,32,0.1875,0.23529411764705882,0.3125,0.42105263157894735
429,32,0.90625,0.88,0.90625,0.88
431,32,0.90625,0.88,0.9375,0.9230769230769231
54,32,0.90625,0.8888888888888888,0.9375,0.9285714285714286
55,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
432,32,0.90625,0.88,0.9375,0.9230769230769231
58,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
60,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
61,32,0.625,0.14285714285714285,0.5625,0.125
62,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
63,32,0.78125,0.0,0.75,0.0
742,32,0.96875,0.0,0.9375,0.0
44,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
42,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
68,32,0.625,0.25,0.59375,0.23529411764705882
36,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
296,32,0.84375,0.8,0.84375,0.8148148148148148
6,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
413,32,0.84375,0.8,0.875,0.8461538461538461
416,32,1.0,1.0,1.0,1.0
15,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
17,32,1.0,1.0,1.0,1.0
418,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
21,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
22,32,0.9375,0.9285714285714286,0.96875,0.9655172413793104
292,32,0.875,0.8461538461538461,0.875,0.8461538461538461
423,32,0.875,0.8333333333333334,0.9375,0.9230769230769231
778,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
29,32,1.0,1.0,1.0,1.0
32,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
424,32,1.0,1.0,1.0,1.0
67,32,0.53125,0.21052631578947367,0.4375,0.18181818181818182
72,32,0.5625,0.0,0.625,0.25
692,32,1.0,1.0,1.0,1.0
740,32,1.0,1.0,1.0,1.0
122,32,0.90625,0.88,0.90625,0.88
710,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
125,32,1.0,1.0,0.96875,0.9523809523809523
709,32,1.0,1.0,0.96875,0.9629629629629629
133,32,0.90625,0.0,0.90625,0.0
134,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
137,32,0.90625,0.4,0.90625,0.4
138,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
504,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
369,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
298,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
701,32,0.875,0.8461538461538461,0.875,0.8461538461538461
148,32,1.0,1.0,1.0,1.0
364,32,0.90625,0.88,0.9375,0.9230769230769231
155,32,0.875,0.8461538461538461,0.90625,0.8888888888888888
121,32,1.0,1.0,1.0,1.0
713,32,1.0,1.0,1.0,1.0
371,32,0.90625,0.88,0.9375,0.9230769230769231
110,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
75,32,1.0,0.0,1.0,0.0
4,32,0.8125,0.75,0.875,0.8461538461538461
79,32,0.6875,0.16666666666666666,0.5625,0.2222222222222222
433,32,1.0,1.0,1.0,1.0
733,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
376,32,1.0,1.0,1.0,1.0
95,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
277,32,0.96875,0.9565217391304348,0.96875,0.9565217391304348
97,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
721,32,0.9375,0.9090909090909091,0.9375,0.9090909090909091
719,32,1.0,1.0,1.0,1.0
717,32,1.0,1.0,1.0,1.0
373,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
103,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
104,32,0.96875,0.9523809523809523,0.96875,0.9523809523809523
502,24,0.9583333333333334,0.9655172413793104,0.9583333333333334,0.9655172413793104
438,24,0.9166666666666666,0.875,0.9583333333333334,0.9411764705882353
496,24,1.0,1.0,1.0,1.0
487,24,0.9583333333333334,0.9333333333333333,0.9583333333333334,0.9333333333333333
482,24,0.75,0.25,0.75,0.4
468,24,0.9583333333333334,0.9230769230769231,0.9583333333333334,0.9230769230769231
437,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
426,24,1.0,1.0,1.0,1.0
421,24,0.9166666666666666,0.9230769230769231,0.9166666666666666,0.9230769230769231
412,24,0.9583333333333334,0.9333333333333333,1.0,1.0
409,24,1.0,1.0,1.0,1.0
509,24,0.875,0.7692307692307693,0.875,0.7692307692307693
640,24,0.875,0.88,0.9166666666666666,0.9230769230769231
510,24,0.9583333333333334,0.9655172413793104,0.9583333333333334,0.9655172413793104
738,24,1.0,1.0,1.0,1.0
682,24,0.875,0.88,0.9166666666666666,0.9230769230769231
685,24,1.0,1.0,1.0,1.0
687,24,1.0,1.0,1.0,1.0
691,24,0.9583333333333334,0.9333333333333333,1.0,1.0
700,24,0.9583333333333334,0.9333333333333333,0.9583333333333334,0.9333333333333333
703,24,1.0,1.0,1.0,1.0
704,24,1.0,1.0,0.9583333333333334,0.9333333333333333
706,24,0.9166666666666666,0.875,0.9166666666666666,0.875
714,24,0.9583333333333334,0.9333333333333333,1.0,1.0
716,24,1.0,1.0,1.0,1.0
728,24,1.0,1.0,1.0,1.0
729,24,1.0,1.0,1.0,1.0
735,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
737,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
739,24,0.9583333333333334,0.9333333333333333,0.9583333333333334,0.9333333333333333
512,24,1.0,1.0,1.0,1.0
746,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
748,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
750,24,0.9583333333333334,0.9411764705882353,0.9583333333333334,0.9411764705882353
759,24,0.9583333333333334,0.9333333333333333,1.0,1.0
764,24,1.0,0.0,1.0,0.0
770,24,1.0,1.0,0.9583333333333334,0.9333333333333333
779,24,0.9166666666666666,0.875,0.9166666666666666,0.875
781,24,0.9166666666666666,0.8,0.9166666666666666,0.8
782,24,0.9583333333333334,0.9333333333333333,1.0,1.0
786,24,1.0,1.0,1.0,1.0
