id,support,acc_05,f1_05,acc_tuned,f1_tuned
448,40,0.975,0.9629629629629629,0.95,0.9285714285714286
45,40,1.0,1.0,0.975,0.9655172413793104
136,40,0.975,0.9629629629629629,0.975,0.9629629629629629
587,40,1.0,1.0,0.975,0.9655172413793104
380,40,0.975,0.9629629629629629,0.95,0.9285714285714286
591,40,0.975,0.9629629629629629,0.95,0.9285714285714286
639,40,1.0,1.0,0.975,0.9655172413793104
83,40,0.725,0.15384615384615385,0.675,0.23529411764705882
130,40,0.975,0.9655172413793104,1.0,1.0
56,40,0.5,0.375,0.525,0.42424242424242425
457,40,0.975,0.9629629629629629,0.95,0.9285714285714286
600,40,0.975,0.9629629629629629,0.95,0.9285714285714286
129,40,1.0,1.0,1.0,1.0
126,40,1.0,1.0,1.0,1.0
655,40,1.0,1.0,1.0,1.0
653,40,1.0,1.0,1.0,1.0
64,40,0.7,0.25,0.65,0.2222222222222222
606,40,1.0,1.0,0.975,0.9655172413793104
652,40,1.0,1.0,1.0,1.0
383,40,0.95,0.9285714285714286,0.95,0.9285714285714286
452,40,0.975,0.9655172413793104,0.975,0.9655172413793104
105,40,1.0,1.0,1.0,1.0
106,40,0.975,0.9655172413793104,0.975,0.9655172413793104
586,40,0.95,0.9333333333333333,0.975,0.967741935483871
734,40,0.775,0.0,0.75,0.16666666666666666
490,40,0.975,0.0,0.975,0.0
19,40,0.925,0.9032258064516129,0.95,0.9375
641,40,0.975,0.9655172413793104,0.975,0.9655172413793104
724,40,0.95,0.9285714285714286,0.95,0.9285714285714286
410,40,1.0,1.0,0.975,0.9655172413793104
508,40,1.0,1.0,0.975,0.9655172413793104
10,40,0.975,0.9629629629629629,0.95,0.9285714285714286
699,40,0.9,0.8571428571428571,0.875,0.8275862068965517
725,40,0.975,0.9629629629629629,0.95,0.9285714285714286
441,40,1.0,1.0,0.975,0.9655172413793104
442,40,1.0,1.0,1.0,1.0
352,40,0.975,0.9655172413793104,0.95,0.9333333333333333
76,40,0.875,0.7619047619047619,0.875,0.7619047619047619
518,40,0.975,0.9655172413793104,1.0,1.0
309,40,1.0,1.0,1.0,1.0
