id,support,acc_05,f1_05,acc_tuned,f1_tuned
368,40,0.825,0.0,0.825,0.0
665,32,0.78125,0.6666666666666666,0.78125,0.6666666666666666
580,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
584,32,0.6875,0.375,0.6875,0.375
143,32,0.6875,0.5833333333333334,0.6875,0.5833333333333334
583,32,0.75,0.6666666666666666,0.75,0.6666666666666666
145,32,0.625,0.5,0.625,0.5
581,32,0.75,0.6363636363636364,0.75,0.6363636363636364
151,32,0.71875,0.64,0.71875,0.64
465,32,0.75,0.6,0.75,0.6
575,32,0.71875,0.64,0.71875,0.64
574,32,0.75,0.6666666666666666,0.75,0.6666666666666666
159,32,0.71875,0.64,0.71875,0.64
571,32,0.6875,0.6153846153846154,0.6875,0.6153846153846154
570,32,0.6875,0.5454545454545454,0.6875,0.5454545454545454
166,32,0.5625,0.46153846153846156,0.5625,0.46153846153846156
466,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
603,32,0.75,0.6,0.75,0.6
245,32,0.6875,0.6153846153846154,0.6875,0.6153846153846154
252,32,0.78125,0.72,0.78125,0.72
464,32,0.75,0.6666666666666666,0.75,0.6666666666666666
607,32,0.71875,0.5263157894736842,0.71875,0.5263157894736842
463,32,0.6875,0.5454545454545454,0.6875,0.5454545454545454
610,32,0.84375,0.0,0.84375,0.0
461,32,0.71875,0.6086956521739131,0.71875,0.6086956521739131
259,32,0.8125,0.75,0.8125,0.75
449,32,0.75,0.6363636363636364,0.75,0.6363636363636364
439,32,0.71875,0.5714285714285714,0.71875,0.5714285714285714
266,32,0.6875,0.6153846153846154,0.6875,0.6153846153846154
267,32,0.78125,0.72,0.78125,0.72
634,32,0.8125,0.6666666666666666,0.8125,0.6666666666666666
648,32,0.90625,0.0,0.90625,0.0
275,32,0.8125,0.7272727272727273,0.8125,0.7272727272727273
246,32,0.71875,0.64,0.71875,0.64
170,32,0.6875,0.6153846153846154,0.6875,0.6153846153846154
668,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
242,32,0.71875,0.64,0.71875,0.64
225,32,0.8125,0.75,0.8125,0.75
219,32,0.78125,0.6956521739130435,0.78125,0.6956521739130435
