tag,acc,f1,prec,rec,auc,brier,ece,acc_tuned,f1_tuned,prec_tuned,rec_tuned,thresh
catboost_full,0.964758064516129,0.9493685552079713,0.9477214897062225,0.9510213556174559,0.9927884659516764,0.028230684897016894,0.009581317768470906,0.9646774193548387,0.9492703266157053,0.9472954230235784,0.9512534818941504,0.43
full,0.9641129032258065,0.9482858803021499,0.949499650919246,0.947075208913649,0.9931588439078727,0.029209131499143625,0.008756410600108226,0.9600806451612903,0.9433962264150944,0.9296822177146721,0.9575208913649025,0.43
no_historical,0.9541129032258064,0.9353776263486655,0.9157215921725594,0.9558960074280408,0.9765838028640917,0.04092955369123026,0.026743850883682283,0.9530645161290323,0.9341181797600181,0.9116217410517012,0.957753017641597,0.3
no_stimulus,0.9360483870967742,0.9033044750640166,0.9514513228872334,0.8597957288765088,0.9827248366166064,0.05234650849332079,0.04429176878969883,0.9393548387096774,0.9098321342925659,0.9409722222222222,0.8806870937790158,0.36
