id,support,acc_05,f1_05,acc_tuned,f1_tuned
368,40,0.875,0.0,0.875,0.0
665,32,1.0,1.0,1.0,1.0
580,32,0.875,0.8571428571428571,0.875,0.8571428571428571
584,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
143,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
583,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
145,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
581,32,0.875,0.8571428571428571,0.875,0.8571428571428571
151,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
465,32,0.8125,0.7692307692307693,0.8125,0.7692307692307693
575,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
574,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
159,32,0.8125,0.7857142857142857,0.8125,0.7857142857142857
571,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
570,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
166,32,0.84375,0.8148148148148148,0.84375,0.8148148148148148
466,32,0.90625,0.896551724137931,0.90625,0.896551724137931
603,32,1.0,1.0,1.0,1.0
245,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
252,32,0.875,0.8461538461538461,0.875,0.8461538461538461
464,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
607,32,1.0,1.0,1.0,1.0
463,32,0.875,0.8666666666666667,0.875,0.8666666666666667
610,32,0.9375,0.0,0.9375,0.0
461,32,0.90625,0.896551724137931,0.90625,0.896551724137931
259,32,0.875,0.8571428571428571,0.875,0.8571428571428571
449,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
439,32,1.0,1.0,1.0,1.0
266,32,0.8125,0.7692307692307693,0.8125,0.7692307692307693
267,32,0.875,0.8571428571428571,0.875,0.8571428571428571
634,32,0.9375,0.9230769230769231,0.9375,0.9230769230769231
648,32,0.9375,0.0,0.9375,0.0
275,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
246,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
170,32,0.96875,0.9696969696969697,0.96875,0.9696969696969697
668,32,1.0,1.0,1.0,1.0
242,32,0.875,0.8571428571428571,0.875,0.8571428571428571
225,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
219,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
483,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
229,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
514,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
522,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
524,32,0.90625,0.896551724137931,0.90625,0.896551724137931
525,32,0.90625,0.896551724137931,0.90625,0.896551724137931
528,32,0.875,0.8571428571428571,0.875,0.8571428571428571
481,32,0.96875,0.967741935483871,0.96875,0.967741935483871
232,32,0.71875,0.47058823529411764,0.71875,0.47058823529411764
202,32,0.8125,0.7857142857142857,0.8125,0.7857142857142857
532,32,0.90625,0.896551724137931,0.90625,0.896551724137931
534,32,0.84375,0.8148148148148148,0.84375,0.8148148148148148
195,32,0.875,0.8461538461538461,0.875,0.8461538461538461
233,32,1.0,1.0,1.0,1.0
479,32,0.875,0.8571428571428571,0.875,0.8571428571428571
237,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
190,32,0.84375,0.8148148148148148,0.84375,0.8148148148148148
187,32,0.90625,0.9032258064516129,0.90625,0.9032258064516129
546,32,0.90625,0.896551724137931,0.90625,0.896551724137931
551,32,0.96875,0.9629629629629629,0.96875,0.9629629629629629
182,32,0.90625,0.896551724137931,0.90625,0.896551724137931
476,32,1.0,1.0,1.0,1.0
239,32,0.96875,0.9655172413793104,0.96875,0.9655172413793104
179,32,0.84375,0.8275862068965517,0.84375,0.8275862068965517
475,32,0.875,0.8461538461538461,0.875,0.8461538461538461
474,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
560,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
491,32,0.875,0.8461538461538461,0.875,0.8461538461538461
498,32,0.59375,0.13333333333333333,0.59375,0.13333333333333333
744,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
25,32,1.0,1.0,1.0,1.0
359,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
736,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
361,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
784,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
395,32,0.90625,0.896551724137931,0.90625,0.896551724137931
394,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
101,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
745,32,0.84375,0.8148148148148148,0.84375,0.8148148148148148
393,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
392,32,0.90625,0.896551724137931,0.90625,0.896551724137931
749,32,0.875,0.8571428571428571,0.875,0.8571428571428571
391,32,0.90625,0.896551724137931,0.90625,0.896551724137931
51,32,1.0,1.0,1.0,1.0
753,32,0.875,0.8571428571428571,0.875,0.8571428571428571
755,32,0.90625,0.896551724137931,0.90625,0.896551724137931
757,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
390,32,0.90625,0.8888888888888888,0.90625,0.8888888888888888
762,32,0.90625,0.896551724137931,0.90625,0.896551724137931
783,32,0.9375,0.9285714285714286,0.9375,0.9285714285714286
766,32,0.875,0.8571428571428571,0.875,0.8571428571428571
767,32,0.96875,0.967741935483871,0.96875,0.967741935483871
769,32,0.75,0.6363636363636364,0.75,0.6363636363636364
370,32,1.0,1.0,1.0,1.0
771,32,0.875,0.8571428571428571,0.875,0.8571428571428571
774,32,0.9375,0.9333333333333333,0.9375,0.9333333333333333
