iter	Logloss
0	0.508674351
1	0.3695500082
2	0.2822851697
3	0.2210088837
4	0.1848206813
5	0.1607547162
6	0.1423498009
7	0.128744309
8	0.1190336596
9	0.1156716349
10	0.1092231256
11	0.1040358969
12	0.09973348933
13	0.09612309372
14	0.09303067693
15	0.09075611421
16	0.08865472633
17	0.08782844485
18	0.0868241552
19	0.08553149711
20	0.08411269062
21	0.08315126522
22	0.08266635824
23	0.08194780164
24	0.08099395773
25	0.08064392537
26	0.08013414001
27	0.07999212458
28	0.07908373733
29	0.07863985461
30	0.07831140583
31	0.07793062171
32	0.07758030904
33	0.07722672577
34	0.0762955461
35	0.07590223131
36	0.07574162209
37	0.07559741548
38	0.07539421743
39	0.07493151183
40	0.07445912865
41	0.07401633746
42	0.07342028721
43	0.07259410033
44	0.07193279987
45	0.07175096695
46	0.07148858974
47	0.0712889989
48	0.07107429661
49	0.07084789944
50	0.07042659023
51	0.07024881638
52	0.06996836887
53	0.06941992268
54	0.06911219754
55	0.06900113281
56	0.06874348747
57	0.06823238581
58	0.06812792015
59	0.06794528917
60	0.06714496714
61	0.06681601711
62	0.06665184888
63	0.06654050796
64	0.06635678428
65	0.06617745905
66	0.06567780205
67	0.06551257177
68	0.06538988271
69	0.06498415321
70	0.06487071344
71	0.06481535237
72	0.06472412175
73	0.06456071261
74	0.06438878045
75	0.06413590257
76	0.06399532833
77	0.06387582478
78	0.06383600139
79	0.06359969201
80	0.06342059038
81	0.06331431629
82	0.0632385305
83	0.0629699909
84	0.06287707012
85	0.06272915692
86	0.06235474429
87	0.06224993448
88	0.06215588888
89	0.06201906944
90	0.0619359558
91	0.06163959509
92	0.06156030784
93	0.06140664954
94	0.06129246119
95	0.06123124841
96	0.06099067486
97	0.06089444646
98	0.06079787663
99	0.06059889307
