user_id,aid,ps,human_sensitivity,ds_sensitivity,start_time,complete,end_time
1,test,0.50,1.30,2.30,2025-11-15 11:02:31.188318+00:00,False,
2,test,0.50,1.30,1.10,2025-11-15 11:02:32.848922+00:00,False,2025-11-15 15:29:13.787242+00:00
3,test,0.20,1.30,1.10,2025-11-15 12:15:54.906077+00:00,False,
4,test,0.35,0.50,0.90,2025-11-15 15:45:30.992951+00:00,True,2025-11-15 16:35:51.998756+00:00
