tag,acc,f1,prec,rec,auc,brier,ece,acc_tuned,f1_tuned,prec_tuned,rec_tuned,thresh
no_system_current,0.9658532059014568,0.9605404246193437,0.9711621856027753,0.950148493848112,0.995474333247192,0.025330522818947453,0.008592645281731487,0.9660387863041663,0.9607632933104632,0.9711746857390551,0.9505727619855748,0.45
no_complex_conditional,0.9653892548946831,0.9602133333333334,0.9656726024458271,0.9548154433602036,0.9949290580708529,0.02674544426862131,0.012899910973070543,0.9653892548946831,0.9602133333333334,0.9656726024458271,0.9548154433602036,0.34
catboost_full,0.9649253038879094,0.9600253807106599,0.9571910586250527,0.9628765379719983,0.9951036846809531,0.025560574191271827,0.009354466486922732,0.9649253038879094,0.9600676103950982,0.9562289562289562,0.9639372083156555,0.46
full,0.9651108842906189,0.9597688850845282,0.9682642487046632,0.9514212982605006,0.9954917049386196,0.025941329394088258,0.01446417555644156,0.9651108842906189,0.9597688850845282,0.9682642487046632,0.9514212982605006,0.48
no_event_type_current,0.9613992762364294,0.9564853556485355,0.9434585224927775,0.9698769622401358,0.9940917005580844,0.027256392152481386,0.012051084858567446,0.9614920664377842,0.9566217204975437,0.9429219039769214,0.9707254985150615,0.31
no_dsrec,0.9313352509974947,0.921443736730361,0.9222269443263919,0.9206618582944421,0.9811523445905392,0.051382788900363185,0.026565557737916468,0.9313352509974947,0.921443736730361,0.9222269443263919,0.9206618582944421,0.42
no_ds_current,0.9311496705947852,0.9205397301349325,0.9294982698961938,0.9117522274077217,0.9854037205579569,0.04973718922981434,0.024393365938529993,0.9310568803934305,0.9204752220914053,0.9289263339814214,0.9121764955451845,0.38
no_historical,0.9278092233460147,0.9135171187194309,0.959598318542737,0.8716588884174798,0.9848014844276519,0.049200647362508856,0.04694143599493799,0.9492437598589589,0.9413907639558555,0.9510716605325829,0.9319049639372083,0.17
no_stimulus,0.8736197457548482,0.8419220055710307,0.9295233213736546,0.7694102672889266,0.929739310566726,0.10371929212570902,0.06675755831272809,0.8735269555534936,0.8418243008007427,0.9292851652574943,0.7694102672889266,0.48
no_stimulus_no_dsrec,0.7489097151340819,0.6551987767584098,0.8203573707721762,0.5453966907085278,0.81677191847362,0.1947880935058305,0.1398627287051449,0.7488169249327271,0.6555541417483141,0.8190779014308426,0.546457361052185,0.42
