id,early_userS,late_userS,delta_userS,early_evtS,late_evtS,delta_evtS
502,0.08333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.4166666666666667,0.25
504,0.0,0.5,0.5,0.0,0.4375,0.4375
508,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
509,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
510,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
512,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
514,0.375,0.0,-0.375,0.375,0.0,-0.375
515,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
518,0.3,0.55,0.25000000000000006,0.2,0.35,0.14999999999999997
522,0.375,0.0,-0.375,0.375,0.0,-0.375
524,0.375,0.0,-0.375,0.375,0.0,-0.375
525,0.375,0.0,-0.375,0.375,0.0,-0.375
528,0.5,0.0,-0.5,0.375,0.0,-0.375
529,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
530,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
532,0.375,0.0,-0.375,0.375,0.0,-0.375
534,0.375,0.0,-0.375,0.375,0.0,-0.375
536,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
537,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
538,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
541,0.25,0.25,0.0,0.125,0.125,0.0
543,0.25,0.25,0.0,0.125,0.125,0.0
544,0.125,0.25,0.125,0.125,0.125,0.0
546,0.5,0.0,-0.5,0.375,0.0,-0.375
551,0.5,0.0,-0.5,0.375,0.0,-0.375
552,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
555,0.5833333333333334,0.08333333333333333,-0.5,0.4166666666666667,0.16666666666666666,-0.25
557,0.1875,0.5625,0.375,0.0625,0.4375,0.375
558,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
559,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
560,0.625,0.375,-0.25,0.625,0.125,-0.5
561,0.1875,0.5,0.3125,0.0625,0.4375,0.375
562,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
564,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
566,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
570,0.5,0.375,-0.125,0.625,0.125,-0.5
571,0.5,0.375,-0.125,0.625,0.125,-0.5
573,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
574,0.375,0.375,0.0,0.625,0.125,-0.5
575,0.625,0.375,-0.25,0.625,0.125,-0.5
580,0.375,0.0,-0.375,0.375,0.0,-0.375
581,0.25,0.0,-0.25,0.375,0.0,-0.375
583,0.375,0.0,-0.375,0.375,0.0,-0.375
584,0.375,0.0,-0.375,0.375,0.0,-0.375
586,0.3,0.55,0.25000000000000006,0.2,0.35,0.14999999999999997
587,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
588,0.1875,0.5625,0.375,0.0625,0.4375,0.375
591,0.25,0.45,0.2,0.2,0.35,0.14999999999999997
592,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
595,0.125,0.25,0.125,0.125,0.125,0.0
597,0.1875,0.625,0.4375,0.0625,0.4375,0.375
598,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
600,0.25,0.45,0.2,0.2,0.35,0.14999999999999997
601,0.1875,0.5625,0.375,0.0625,0.4375,0.375
602,0.1875,0.25,0.0625,0.125,0.125,0.0
603,0.5,0.0,-0.5,0.375,0.0,-0.375
604,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
605,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
606,0.3,0.5,0.2,0.2,0.35,0.14999999999999997
607,0.375,0.0,-0.375,0.375,0.0,-0.375
608,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
610,0.5,0.0,-0.5,0.375,0.0,-0.375
612,0.25,0.25,0.0,0.125,0.125,0.0
616,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
619,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
620,0.1875,0.25,0.0625,0.125,0.125,0.0
625,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
630,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
631,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
632,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
634,0.25,0.0,-0.25,0.375,0.0,-0.375
635,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
636,0.25,0.25,0.0,0.125,0.125,0.0
638,0.1875,0.25,0.0625,0.125,0.125,0.0
639,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
640,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
641,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
642,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
645,0.25,0.45,0.2,0.2,0.35,0.14999999999999997
646,0.1875,0.5625,0.375,0.0625,0.4375,0.375
648,0.5,0.375,-0.125,0.625,0.125,-0.5
649,0.0625,0.0,-0.0625,0.0625,0.4375,0.375
652,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
653,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
655,0.3,0.5,0.2,0.2,0.35,0.14999999999999997
664,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
665,0.5,0.375,-0.125,0.625,0.125,-0.5
666,0.1875,0.25,0.0625,0.125,0.125,0.0
667,0.1875,0.5625,0.375,0.0625,0.4375,0.375
668,0.625,0.375,-0.25,0.625,0.125,-0.5
671,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
674,0.1875,0.25,0.0625,0.125,0.125,0.0
675,0.08333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.4166666666666667,0.25
678,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
681,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,-0.25
682,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
684,0.1875,0.5,0.3125,0.0625,0.4375,0.375
685,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
687,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
688,0.1875,0.5625,0.375,0.0625,0.4375,0.375
691,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
692,0.1875,0.25,0.0625,0.125,0.125,0.0
694,0.5,0.375,-0.125,0.625,0.125,-0.5
699,0.25,0.4,0.15000000000000002,0.2,0.35,0.14999999999999997
700,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
701,0.1875,0.5625,0.375,0.0625,0.4375,0.375
703,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
704,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
705,0.375,0.0,-0.375,0.375,0.0,-0.375
706,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
709,0.0,0.5,0.5,0.0,0.4375,0.4375
710,0.0,0.625,0.625,0.0,0.4375,0.4375
713,0.25,0.25,0.0,0.125,0.125,0.0
714,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
716,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
717,0.0,0.5625,0.5625,0.0,0.4375,0.4375
719,0.1875,0.25,0.0625,0.125,0.125,0.0
721,0.1875,0.25,0.0625,0.125,0.125,0.0
724,0.25,0.45,0.2,0.2,0.35,0.14999999999999997
725,0.25,0.45,0.2,0.2,0.35,0.14999999999999997
728,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
729,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
730,0.25,0.5,0.25,0.2,0.35,0.14999999999999997
731,0.375,0.0,-0.375,0.375,0.0,-0.375
733,0.1875,0.625,0.4375,0.0625,0.4375,0.375
734,0.2,0.1,-0.1,0.2,0.35,0.14999999999999997
735,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
736,0.5,0.375,-0.125,0.625,0.125,-0.5
737,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
738,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
739,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
740,0.1875,0.25,0.0625,0.125,0.125,0.0
742,0.0,0.0,0.0,0.0625,0.4375,0.375
744,0.625,0.375,-0.25,0.625,0.125,-0.5
745,0.5,0.375,-0.125,0.625,0.125,-0.5
746,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
748,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
749,0.5,0.375,-0.125,0.625,0.125,-0.5
750,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
753,0.5,0.375,-0.125,0.625,0.125,-0.5
755,0.375,0.375,0.0,0.625,0.125,-0.5
756,0.4375,0.8125,0.375,0.125,0.125,0.0
757,0.5,0.375,-0.125,0.625,0.125,-0.5
759,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
762,0.5,0.375,-0.125,0.625,0.125,-0.5
764,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,-0.25
766,0.5,0.375,-0.125,0.625,0.125,-0.5
767,0.5,0.375,-0.125,0.625,0.125,-0.5
769,0.5,0.375,-0.125,0.625,0.125,-0.5
770,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
771,0.375,0.0,-0.375,0.375,0.0,-0.375
774,0.375,0.0,-0.375,0.375,0.0,-0.375
778,0.0,0.5625,0.5625,0.0,0.4375,0.4375
779,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
780,0.375,0.0,-0.375,0.375,0.0,-0.375
781,0.5833333333333334,0.08333333333333333,-0.5,0.4166666666666667,0.16666666666666666,-0.25
782,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
783,0.5,0.375,-0.125,0.625,0.125,-0.5
784,0.5,0.375,-0.125,0.625,0.125,-0.5
786,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
790,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
797,0.5833333333333334,0.08333333333333333,-0.5,0.4166666666666667,0.16666666666666666,-0.25
798,0.375,0.0,-0.375,0.375,0.0,-0.375
799,0.5,0.0,-0.5,0.375,0.0,-0.375
801,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
804,0.375,0.0,-0.375,0.375,0.0,-0.375
805,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
808,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
