id,early_userS,late_userS,delta_userS,early_evtS,late_evtS,delta_evtS
391,0.1875,0.5,0.3125,0.0625,0.4375,0.375
392,0.1875,0.5,0.3125,0.0625,0.4375,0.375
393,0.1875,0.5,0.3125,0.0625,0.4375,0.375
394,0.1875,0.5,0.3125,0.0625,0.4375,0.375
395,0.1875,0.5,0.3125,0.0625,0.4375,0.375
396,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
397,0.08333333333333333,0.4166666666666667,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
399,0.1875,0.4375,0.25,0.0625,0.4375,0.375
400,0.1875,0.5625,0.375,0.0625,0.4375,0.375
401,0.1875,0.5,0.3125,0.0625,0.4375,0.375
402,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
403,0.1875,0.4375,0.25,0.0625,0.4375,0.375
404,0.1875,0.5625,0.375,0.0625,0.4375,0.375
405,0.3333333333333333,0.25,-0.08333333333333331,0.4166666666666667,0.16666666666666666,-0.25
406,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
407,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
409,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
410,0.5,0.5,0.0,0.5,0.25,-0.25
412,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
413,0.375,0.375,0.0,0.375,0.375,0.0
416,0.5,0.5,0.0,0.375,0.375,0.0
417,0.0,0.625,0.625,0.0,0.4375,0.4375
418,0.625,0.5,-0.125,0.375,0.375,0.0
421,0.5833333333333334,0.25,-0.33333333333333337,0.4166666666666667,0.16666666666666666,-0.25
423,0.25,0.25,0.0,0.375,0.375,0.0
424,0.625,0.5,-0.125,0.375,0.375,0.0
425,0.5,0.5,0.0,0.375,0.375,0.0
426,0.16666666666666666,0.5833333333333334,0.41666666666666674,0.25,0.4166666666666667,0.16666666666666669
429,0.25,0.25,0.0,0.375,0.375,0.0
431,0.375,0.375,0.0,0.375,0.375,0.0
432,0.25,0.375,0.125,0.375,0.375,0.0
433,0.625,0.5,-0.125,0.375,0.375,0.0
436,0.25,0.5,0.25,0.5,0.25,-0.25
437,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
438,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
439,0.0,0.5625,0.5625,0.0,0.4375,0.4375
440,0.375,0.0,-0.375,0.375,0.0,-0.375
441,0.25,0.5,0.25,0.5,0.25,-0.25
442,0.25,0.5,0.25,0.5,0.25,-0.25
446,0.625,0.5,-0.125,0.375,0.375,0.0
447,0.625,0.5,-0.125,0.375,0.375,0.0
448,0.5,0.25,-0.25,0.5,0.25,-0.25
449,0.1875,0.5625,0.375,0.0625,0.4375,0.375
450,0.375,0.375,0.0,0.625,0.125,-0.5
452,0.25,0.5,0.25,0.5,0.25,-0.25
455,0.375,0.375,0.0,0.375,0.375,0.0
456,0.625,0.5,-0.125,0.375,0.375,0.0
457,0.25,0.5,0.25,0.5,0.25,-0.25
460,0.375,0.375,0.0,0.625,0.125,-0.5
461,0.125,0.5625,0.4375,0.0625,0.4375,0.375
463,0.125,0.5625,0.4375,0.0625,0.4375,0.375
464,0.125,0.5,0.375,0.0625,0.4375,0.375
465,0.125,0.5,0.375,0.0625,0.4375,0.375
466,0.125,0.5625,0.4375,0.0625,0.4375,0.375
467,0.375,0.5,0.125,0.375,0.375,0.0
468,0.08333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.4166666666666667,0.25
469,0.5,0.375,-0.125,0.375,0.375,0.0
474,0.0,0.5,0.5,0.0,0.4375,0.4375
475,0.1875,0.5625,0.375,0.0625,0.4375,0.375
476,0.0,0.5625,0.5625,0.0,0.4375,0.4375
478,0.5,0.25,-0.25,0.5,0.25,-0.25
479,0.0,0.5,0.5,0.0,0.4375,0.4375
481,0.0,0.5625,0.5625,0.0,0.4375,0.4375
482,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.4166666666666667,0.16666666666666666,-0.25
483,0.0,0.5625,0.5625,0.0,0.4375,0.4375
487,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
490,0.25,0.25,0.0,0.5,0.25,-0.25
491,0.1875,0.5625,0.375,0.0625,0.4375,0.375
496,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
498,0.25,0.4375,0.1875,0.125,0.125,0.0
502,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
504,0.5,0.375,-0.125,0.625,0.125,-0.5
508,0.25,0.5,0.25,0.5,0.25,-0.25
509,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
510,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
512,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
514,0.1875,0.5625,0.375,0.0625,0.4375,0.375
515,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
518,0.25,0.5,0.25,0.5,0.25,-0.25
522,0.125,0.5625,0.4375,0.0625,0.4375,0.375
524,0.125,0.5625,0.4375,0.0625,0.4375,0.375
525,0.125,0.5625,0.4375,0.0625,0.4375,0.375
528,0.125,0.5625,0.4375,0.0625,0.4375,0.375
529,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.4166666666666667,0.16666666666666666,-0.25
530,0.08333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.4166666666666667,0.25
532,0.125,0.5625,0.4375,0.0625,0.4375,0.375
534,0.125,0.5625,0.4375,0.0625,0.4375,0.375
536,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
537,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
538,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
541,0.5,0.5,0.0,0.25,0.375,0.125
543,0.625,0.5,-0.125,0.375,0.375,0.0
544,0.625,0.5,-0.125,0.375,0.375,0.0
546,0.125,0.5625,0.4375,0.0625,0.4375,0.375
551,0.1875,0.5,0.3125,0.0625,0.4375,0.375
552,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
555,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
557,0.5,0.0,-0.5,0.375,0.0,-0.375
558,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
559,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
560,0.0,0.5,0.5,0.0,0.4375,0.4375
561,0.375,0.125,-0.25,0.375,0.375,0.0
562,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
564,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
566,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
570,0.0,0.5625,0.5625,0.0,0.4375,0.4375
571,0.0,0.5625,0.5625,0.0,0.4375,0.4375
573,0.5833333333333334,0.25,-0.33333333333333337,0.4166666666666667,0.16666666666666666,-0.25
574,0.0,0.5625,0.5625,0.0,0.4375,0.4375
575,0.0,0.5,0.5,0.0,0.4375,0.4375
580,0.125,0.5,0.375,0.0625,0.4375,0.375
581,0.125,0.5,0.375,0.0625,0.4375,0.375
583,0.125,0.5625,0.4375,0.0625,0.4375,0.375
584,0.1875,0.5,0.3125,0.0625,0.4375,0.375
586,0.5,0.5,0.0,0.5,0.25,-0.25
587,0.5,0.5,0.0,0.5,0.25,-0.25
588,0.375,0.375,0.0,0.375,0.375,0.0
591,0.5,0.5,0.0,0.5,0.25,-0.25
592,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
595,0.625,0.5,-0.125,0.375,0.375,0.0
597,0.375,0.375,0.0,0.375,0.375,0.0
598,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
600,0.25,0.5,0.25,0.5,0.25,-0.25
601,0.375,0.375,0.0,0.375,0.375,0.0
602,0.625,0.5,-0.125,0.375,0.375,0.0
603,0.1875,0.5625,0.375,0.0625,0.4375,0.375
604,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
605,0.4166666666666667,0.25,-0.16666666666666669,0.4166666666666667,0.16666666666666666,-0.25
606,0.25,0.5,0.25,0.5,0.25,-0.25
607,0.1875,0.5625,0.375,0.0625,0.4375,0.375
608,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
610,0.5,0.0,-0.5,0.0625,0.4375,0.375
612,0.5,0.5,0.0,0.375,0.375,0.0
616,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
619,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
620,0.5,0.5,0.0,0.375,0.375,0.0
625,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
630,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
631,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
632,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
634,0.1875,0.5,0.3125,0.0625,0.4375,0.375
635,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
636,0.5,0.5,0.0,0.375,0.375,0.0
638,0.625,0.5,-0.125,0.375,0.375,0.0
639,0.5,0.5,0.0,0.5,0.25,-0.25
640,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
641,0.5,0.5,0.0,0.5,0.25,-0.25
642,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
645,0.25,0.5,0.25,0.5,0.25,-0.25
646,0.375,0.375,0.0,0.375,0.375,0.0
648,0.0,0.0,0.0,0.0,0.4375,0.4375
649,0.25,0.0,-0.25,0.375,0.375,0.0
652,0.25,0.25,0.0,0.5,0.25,-0.25
653,0.25,0.5,0.25,0.5,0.25,-0.25
655,0.5,0.5,0.0,0.5,0.25,-0.25
664,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
665,0.0,0.5625,0.5625,0.0,0.4375,0.4375
666,0.625,0.5,-0.125,0.375,0.375,0.0
667,0.375,0.375,0.0,0.375,0.375,0.0
668,0.0,0.5625,0.5625,0.0,0.4375,0.4375
671,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
674,0.625,0.5,-0.125,0.375,0.375,0.0
675,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
678,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
681,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.25
682,0.5833333333333334,0.16666666666666666,-0.41666666666666674,0.4166666666666667,0.16666666666666666,-0.25
684,0.375,0.0,-0.375,0.375,0.0,-0.375
685,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
687,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
688,0.375,0.0,-0.375,0.375,0.0,-0.375
691,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
692,0.625,0.5,-0.125,0.375,0.375,0.0
694,0.0,0.5625,0.5625,0.0,0.4375,0.4375
699,0.5,0.25,-0.25,0.5,0.25,-0.25
700,0.08333333333333333,0.5833333333333334,0.5,0.16666666666666666,0.4166666666666667,0.25
701,0.375,0.25,-0.125,0.375,0.375,0.0
703,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
704,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
705,0.1875,0.625,0.4375,0.0625,0.4375,0.375
706,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
709,0.625,0.375,-0.25,0.625,0.125,-0.5
710,0.625,0.375,-0.25,0.625,0.125,-0.5
713,0.625,0.5,-0.125,0.375,0.375,0.0
714,0.0,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.4166666666666667,0.25
716,0.0,0.5,0.5,0.16666666666666666,0.4166666666666667,0.25
717,0.5,0.375,-0.125,0.625,0.125,-0.5
719,0.625,0.5,-0.125,0.375,0.375,0.0
721,0.625,0.5,-0.125,0.375,0.375,0.0
724,0.5,0.5,0.0,0.5,0.25,-0.25
725,0.25,0.5,0.25,0.5,0.25,-0.25
728,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
729,0.0,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
730,0.5,0.5,0.0,0.5,0.25,-0.25
731,0.1875,0.5,0.3125,0.0625,0.4375,0.375
733,0.25,0.25,0.0,0.375,0.375,0.0
734,0.0,0.0,0.0,0.5,0.25,-0.25
735,0.08333333333333333,0.4166666666666667,0.33333333333333337,0.16666666666666666,0.4166666666666667,0.25
736,0.0,0.5625,0.5625,0.0,0.4375,0.4375
737,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
738,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
739,0.08333333333333333,0.5,0.4166666666666667,0.16666666666666666,0.4166666666666667,0.25
740,0.5,0.5,0.0,0.375,0.375,0.0
