tag,n_train,n_test,p_signal_train,p_signal_test,acc,f1,prec,rec,auc,ap,brier,ece,acc_tuned,f1_tuned,prec_tuned,rec_tuned,thresh
NONDS_pooled_chrono_70_30_full,43400,18600,0.3542626728110599,0.3253225806451613,0.9489247311827957,0.9194915254237288,0.9436423725865368,0.8965460254503388,0.9825534475011648,0.962265574144689,0.044686231591353105,0.040888263370994465,0.9488172043010753,0.9193630357445367,0.9430060816681147,0.8968765493306892,0.46
NONDS_pooled_chrono_70_30_no_historical,43400,18600,0.3542626728110599,0.3253225806451613,0.959247311827957,0.9382736156351792,0.9248675549847487,0.9520740373491985,0.9788717172659378,0.9409584679242058,0.038938908380284215,0.03941139895829463,0.9588709677419355,0.9377593360995851,0.9235576923076924,0.9524045612295489,0.26
NONDS_pooled_chrono_70_30_no_stim,43400,18600,0.3542626728110599,0.3253225806451613,0.7717204301075269,0.6445672191528545,0.6530958439355385,0.636258469674434,0.7917741498113381,0.6265909643277234,0.17257944126786834,0.08217640304003038,0.7717204301075269,0.6445672191528545,0.6530958439355385,0.636258469674434,0.32
NONDS_pooled_chrono_70_30_no_stim_hard,43400,18600,0.3542626728110599,0.3253225806451613,0.8154301075268817,0.67634580937117,0.7873134328358209,0.5927945794083622,0.8413224819095857,0.7566946135408015,0.14107077885932168,0.06988450559251691,0.8155376344086022,0.6767172335814567,0.7871547566856641,0.593455627169063,0.36
